X	Y	error	micros	speed
0.88	-0.29	-232	27013056	0.19
0.88	-0.28	-248	27039280	0.21
0.88	-0.28	-234	27065568	0.2
0.89	-0.28	-252	27091868	0.21
0.89	-0.27	-211	27118176	0.21
0.9	-0.27	-170	27144468	0.21
0.9	-0.27	-196	27170824	0.22
0.91	-0.26	-192	27197084	0.24
0.91	-0.26	-283	27223436	0.22
0.92	-0.26	-332	27249712	0.23
0.92	-0.25	-287	27276008	0.21
0.92	-0.25	-189	27302324	0.21
0.93	-0.24	-170	27328672	0.21
0.93	-0.24	-206	27354976	0.23
0.94	-0.24	-271	27381264	0.23
0.94	-0.23	-368	27407580	0.23
0.94	-0.23	-372	27433828	0.21
0.95	-0.22	-250	27460108	0.19
0.95	-0.22	-247	27486380	0.19
0.96	-0.22	-301	27512688	0.21
0.96	-0.21	-353	27538948	0.21
0.96	-0.21	-359	27565204	0.19
0.96	-0.2	-254	27591496	0.19
0.97	-0.2	-170	27617800	0.19
0.97	-0.2	-187	27644100	0.21
0.97	-0.19	-207	27670412	0.23
0.98	-0.19	-255	27696760	0.21
0.98	-0.18	-212	27723056	0.23
0.98	-0.18	-124	27749332	0.22
0.99	-0.17	-195	27775652	0.24
0.99	-0.17	-207	27801992	0.24
0.99	-0.16	-215	27828316	0.22
1	-0.16	-235	27854664	0.22
1	-0.15	-209	27880992	0.23
1	-0.15	-239	27907320	0.23
1.01	-0.14	-303	27933624	0.23
1.01	-0.14	-260	27959880	0.22
1.01	-0.13	-378	27986172	0.2
1.02	-0.13	-478	28012408	0.21
1.02	-0.12	-563	28038648	0.19
1.02	-0.12	-503	28064860	0.17
1.02	-0.11	-436	28091040	0.16
1.02	-0.11	-345	28117248	0.15
1.02	-0.11	-330	28143480	0.16
1.03	-0.1	-339	28169680	0.17
1.03	-0.1	-326	28195900	0.16
1.03	-0.09	-390	28222128	0.16
1.03	-0.09	-413	28248332	0.17
1.03	-0.09	-440	28274516	0.16
1.03	-0.08	-408	28300692	0.15
1.03	-0.08	-359	28326868	0.14
1.03	-0.07	-336	28353064	0.15
1.03	-0.07	-360	28379264	0.16
1.03	-0.07	-414	28405464	0.17
1.03	-0.06	-386	28431672	0.16
1.03	-0.06	-308	28457912	0.16
1.03	-0.05	-313	28484144	0.17
1.03	-0.05	-360	28510372	0.18
1.03	-0.04	-358	28536612	0.17
1.03	-0.04	-321	28562884	0.17
1.03	-0.03	-305	28589140	0.18
1.03	-0.03	-343	28615428	0.18
1.03	-0.02	-343	28641688	0.19
1.03	-0.02	-353	28667964	0.18
1.03	-0.01	-270	28694216	0.18
1.03	-0.01	-216	28720488	0.18
1.03	0	-192	28746800	0.2
1.03	0	-189	28773040	0.21
1.03	0.01	-193	28799292	0.22
1.03	0.01	-128	28825624	0.23
1.03	0.02	-105	28851984	0.23
1.03	0.02	-145	28878320	0.24
1.03	0.03	-171	28904696	0.25
1.03	0.04	-171	28930976	0.25
1.03	0.04	-125	28957300	0.25
1.03	0.05	-58	28983624	0.25
1.03	0.06	-106	29009956	0.26
1.02	0.06	-171	29036320	0.26
1.02	0.07	-145	29062684	0.25
1.02	0.08	-83	29089040	0.24
1.02	0.08	-65	29115352	0.26
1.02	0.09	-107	29141672	0.26
1.02	0.1	-84	29168008	0.26
1.02	0.1	-83	29194324	0.26
1.02	0.11	-22	29220616	0.27
1.01	0.12	-15	29246964	0.27
1.01	0.12	-64	29273292	0.27
1.01	0.13	-66	29299640	0.28
1.01	0.14	-45	29326024	0.27
1.01	0.15	0	29352352	0.28
1.01	0.15	-18	29378656	0.28
1.01	0.16	-16	29404996	0.28
1	0.17	22	29431324	0.28
1	0.18	19	29457608	0.29
1	0.18	25	29483920	0.29
1	0.19	79	29510244	0.29
1	0.2	144	29536528	0.29
1	0.2	142	29562860	0.27
1	0.21	131	29589164	0.26
0.99	0.22	104	29615560	0.27
0.99	0.23	123	29641908	0.27
0.99	0.23	144	29668268	0.26
0.99	0.24	149	29694644	0.25
0.99	0.25	123	29721012	0.25
0.99	0.25	121	29747396	0.25
0.99	0.26	102	29773728	0.26
0.99	0.27	108	29800116	0.25
0.99	0.27	131	29826460	0.26
0.98	0.28	110	29852800	0.25
0.98	0.29	99	29879172	0.25
0.98	0.29	103	29905448	0.26
0.98	0.3	141	29931780	0.26
0.98	0.31	121	29958136	0.26
0.98	0.31	107	29984532	0.26
0.98	0.32	101	30010876	0.26
0.98	0.33	79	30037196	0.26
0.98	0.33	87	30063480	0.26
0.98	0.34	92	30089816	0.27
0.97	0.35	77	30116156	0.27
0.97	0.35	77	30142460	0.27
0.97	0.36	82	30168848	0.27
0.97	0.37	110	30195152	0.28
0.97	0.38	126	30221488	0.27
0.97	0.38	131	30247840	0.26
0.97	0.39	149	30274200	0.26
0.97	0.4	146	30300560	0.26
0.97	0.4	160	30326948	0.26
0.97	0.41	143	30353284	0.26
0.97	0.42	139	30379664	0.25
0.97	0.42	186	30405964	0.25
0.96	0.43	150	30432332	0.25
0.96	0.44	155	30458692	0.24
0.96	0.44	155	30485044	0.25
0.96	0.45	176	30511376	0.25
0.96	0.45	139	30537724	0.24
0.96	0.46	139	30564096	0.23
0.96	0.47	139	30590412	0.25
0.96	0.47	142	30616724	0.25
0.96	0.48	102	30643088	0.24
0.96	0.49	94	30669412	0.25
0.96	0.49	99	30695764	0.27
0.96	0.5	64	30722080	0.25
0.96	0.51	-3	30748396	0.26
0.96	0.51	-23	30774664	0.28
0.96	0.52	-45	30801016	0.26
0.96	0.53	-86	30827424	0.28
0.96	0.54	-166	30853748	0.27
0.96	0.54	-198	30880104	0.27
0.96	0.55	-208	30906424	0.25
0.95	0.56	-190	30932784	0.25
0.95	0.56	-172	30959128	0.24
0.95	0.57	-209	30985508	0.24
0.95	0.57	-251	31011872	0.25
0.95	0.58	-281	31038188	0.23
0.95	0.59	-283	31064500	0.22
0.95	0.59	-241	31090804	0.22
0.95	0.6	-185	31117128	0.21
0.95	0.6	-205	31143420	0.22
0.95	0.61	-203	31169732	0.23
0.94	0.61	-267	31196040	0.22
0.94	0.62	-281	31222360	0.22
0.94	0.63	-251	31248660	0.2
0.94	0.63	-208	31274960	0.22
0.94	0.64	-188	31301300	0.22
0.94	0.64	-249	31327584	0.22
0.93	0.65	-283	31353892	0.22
0.93	0.65	-268	31380184	0.21
0.93	0.66	-230	31406496	0.21
0.93	0.66	-229	31432816	0.21
0.93	0.67	-227	31459136	0.22
0.93	0.67	-260	31485444	0.22
0.92	0.68	-280	31511736	0.21
0.92	0.69	-264	31538032	0.21
0.92	0.69	-251	31564328	0.21
0.92	0.7	-246	31590628	0.21
0.91	0.7	-266	31616900	0.21
0.91	0.7	-272	31643184	0.21
0.91	0.71	-285	31669476	0.21
0.91	0.71	-250	31695780	0.21
0.91	0.72	-227	31722084	0.21
0.9	0.72	-262	31748400	0.21
0.9	0.73	-321	31774696	0.22
0.9	0.73	-313	31800964	0.21
0.89	0.74	-267	31827260	0.2
0.89	0.74	-190	31853536	0.21
0.89	0.75	-150	31879896	0.21
0.89	0.75	-175	31906192	0.23
0.88	0.76	-212	31932516	0.23
0.88	0.76	-205	31958840	0.23
0.88	0.77	-190	31985188	0.22
0.87	0.77	-186	32011492	0.23
0.87	0.78	-192	32037840	0.24
0.87	0.78	-222	32064176	0.23
0.86	0.79	-254	32090520	0.23
0.86	0.79	-279	32116788	0.22
0.86	0.8	-227	32143112	0.22
0.85	0.8	-204	32169424	0.22
0.85	0.81	-248	32195760	0.23
0.85	0.81	-332	32222080	0.23
0.84	0.82	-298	32248336	0.21
0.84	0.82	-239	32274628	0.19
0.83	0.83	-129	32300924	0.21
0.83	0.83	-133	32327228	0.21
0.83	0.83	-227	32353528	0.22
0.82	0.84	-245	32379820	0.23
0.82	0.84	-210	32406096	0.2
0.82	0.85	-155	32432412	0.2
0.81	0.85	-134	32458760	0.22
0.81	0.85	-150	32485120	0.24
0.8	0.86	-194	32511480	0.24
0.8	0.86	-231	32537836	0.23
0.79	0.87	-233	32564160	0.23
0.79	0.87	-192	32590492	0.23
0.79	0.88	-166	32616848	0.23
0.78	0.88	-186	32643232	0.24
0.78	0.88	-233	32669584	0.24
0.77	0.89	-267	32695884	0.23
0.77	0.89	-229	32722212	0.23
0.76	0.9	-217	32748528	0.23
0.76	0.9	-203	32774860	0.22
0.75	0.9	-192	32801192	0.23
0.75	0.91	-207	32827484	0.23
0.74	0.91	-399	32853816	0.23
